LEFT,-16.17,-20.29,-21.69,-23.26,-27.12,-30.71,-32.02,-33.17,-34.41,-32.71,-29.72,-30.21,-32.1,-32.16,-31.54,-31.88,-33.87,-38.81,-44.27,-47.18,-47.17,-44.76,-46.57,-68.02,-113.51,-167.03,-214.8,-252.21,-269.39,-257.9,-221.37,-172.07,-118.49,-62.03,-8.94,34.91,68.86,91.16,105.21,116.54,123.87,126.35,126.93,127.56,126.13,114.54,84.64,40.43,-4.54,-40.69
LEFT,-36.16,-36.62,-37.91,-43.03,-50.29,-47.38,-24.05,12.92,49.83,82.69,111.03,127.54,133.68,141.2,149.06,148.89,142.47,134.55,121.94,97.35,58.36,9.83,-40.46,-89.44,-138.33,-181.29,-211.8,-236.38,-257.3,-267.94,-269.91,-268.71,-264.84,-255.32,-241.39,-226.49,-212.07,-196.94,-178.57,-160.09,-144.55,-129.74,-112.9,-96.16,-83.58,-72.55,-59.93,-47.74,-36.18,-23.04
LEFT,12.95,12.21,10.44,12.98,17.9,15.25,3.63,-6.64,-10.87,-13.47,-17.57,-24.2,-30.87,-34.46,-35.76,-37.83,-41.5,-44.16,-44.16,-42.47,-38.9,-32.76,-33.55,-58.02,-108.91,-169.77,-225.97,-270.3,-293.24,-292.09,-272.24,-239.99,-200.82,-157.75,-112.06,-62.49,-10.95,35.59,71.77,98.75,124.33,148.29,165.5,177.94,186.28,188.47,183.06,170.28,156.5,148.97
LEFT,-62.01,-62.87,-48.96,-28.03,-7.22,18.25,50.57,86.42,122.0,153.34,182.83,210.02,224.75,224.74,214.64,193.61,161.63,122.91,80.39,37.52,-3.9,-45.42,-83.29,-116.4,-149.67,-182.31,-209.49,-225.77,-229.79,-225.02,-215.64,-205.39,-194.03,-180.4,-164.84,-149.51,-135.5,-122.5,-109.53,-94.86,-81.63,-70.01,-54.72,-36.7,-19.89,-5.35,4.95,14.08,27.81,38.47
LEFT,108.08,109.11,107.8,108.34,108.76,104.11,96.39,90.45,86.73,81.75,74.16,67.0,62.93,61.4,59.59,57.61,57.12,56.42,52.52,46.89,42.45,30.69,-1.32,-50.25,-102.87,-153.46,-200.65,-234.28,-240.83,-222.76,-195.14,-161.78,-117.69,-67.09,-17.46,27.38,69.94,110.99,142.55,160.92,172.95,183.7,190.58,191.84,189.71,184.27,173.54,158.96,145.07,135.14
LEFT,-66.23,-73.08,-80.67,-87.98,-88.15,-70.93,-39.27,-5.15,22.74,37.8,41.69,46.5,55.23,61.35,63.75,63.0,57.78,49.61,40.6,27.15,5.34,-22.8,-52.67,-82.45,-116.58,-156.95,-199.07,-238.1,-269.4,-288.61,-296.61,-295.99,-289.86,-281.68,-273.32,-265.77,-255.0,-238.01,-218.22,-201.19,-185.7,-167.87,-149.51,-132.38,-114.59,-95.23,-78.08,-64.38,-50.62,-37.62
LEFT,-69.74,-60.55,-56.05,-57.46,-50.37,-23.14,13.47,46.24,74.14,97.97,118.5,135.19,149.68,168.14,186.96,195.19,189.54,173.08,145.98,107.27,60.49,10.35,-40.35,-88.94,-131.94,-168.48,-197.74,-218.91,-232.46,-236.59,-232.02,-222.19,-210.11,-198.76,-187.35,-173.02,-156.17,-139.45,-122.89,-107.22,-93.73,-77.79,-58.34,-41.03,-30.43,-27.83,-29.06,-24.87,-9.63,14.28
LEFT,20.83,20.74,20.01,17.55,12.96,7.23,1.72,-2.69,-1.54,3.13,2.35,-4.01,-11.55,-13.02,-8.26,-9.01,-14.35,-15.63,-17.59,-25.27,-31.45,-31.01,-33.84,-55.85,-100.92,-159.31,-218.47,-262.75,-277.09,-263.0,-234.14,-203.29,-175.71,-147.42,-113.69,-75.25,-36.3,3.75,42.88,73.8,99.43,122.29,138.14,149.42,159.54,166.26,167.81,164.19,156.27,146.3
LEFT,-58.29,-59.14,-56.04,-52.35,-52.57,-50.97,-34.31,-2.59,32.07,62.04,87.05,111.14,134.54,154.39,171.95,186.3,193.18,190.07,176.47,150.29,106.84,46.48,-19.86,-79.6,-130.52,-174.98,-210.35,-234.02,-247.04,-251.96,-250.63,-247.08,-241.19,-229.41,-213.78,-197.13,-179.68,-162.63,-147.85,-134.99,-122.88,-110.68,-95.53,-77.4,-59.91,-45.23,-33.48,-22.47,-12.69,-6.2
LEFT,41.11,36.74,25.62,12.46,5.59,5.23,5.91,2.93,-2.56,-3.07,-2.46,-5.36,-8.57,-12.7,-16.46,-15.73,-10.88,-6.74,-10.45,-22.01,-31.35,-38.74,-61.38,-105.27,-152.89,-188.81,-212.92,-220.77,-202.86,-160.03,-104.67,-51.13,-6.52,24.98,36.91,29.32,7.0,-20.71,-45.47,-66.8,-83.75,-91.28,-85.29,-66.71,-42.21,-16.72,11.39,43.17,73.21,96.2
LEFT,-60.56,-61.51,-65.19,-60.9,-37.19,-1.91,28.94,51.27,66.76,77.3,85.1,91.47,99.26,108.33,116.13,119.76,113.0,94.03,65.98,32.11,-4.41,-45.14,-91.37,-133.2,-163.84,-189.74,-213.96,-230.84,-238.71,-242.7,-245.39,-240.11,-225.04,-208.53,-194.64,-180.05,-162.69,-147.51,-137.73,-128.57,-113.53,-93.66,-76.64,-63.2,-50.37,-38.0,-25.38,-11.54,2.76,14.25
LEFT,59.82,53.64,51.03,52.5,54.18,53.8,51.54,47.87,43.2,40.23,38.84,37.67,36.66,35.09,33.1,30.8,27.05,20.98,16.63,16.33,12.25,-7.19,-43.55,-86.88,-130.89,-171.28,-201.92,-221.83,-224.83,-198.89,-145.36,-80.18,-20.08,28.67,67.29,94.87,112.48,122.49,129.23,137.58,144.89,142.53,121.43,80.63,32.66,-3.95,-19.81,-21.0,-14.52,-0.41
LEFT,65.57,62.82,61.46,57.93,52.03,49.98,52.27,53.85,53.68,53.34,52.19,48.24,42.79,37.56,33.98,32.06,31.07,29.71,27.06,25.07,22.76,11.35,-18.54,-62.99,-113.49,-166.52,-214.77,-246.75,-253.63,-237.05,-206.09,-164.82,-114.49,-58.57,-5.54,40.43,79.64,109.39,135.0,161.45,180.71,187.02,185.92,183.17,177.38,168.08,159.62,153.37,146.21,136.04
LEFT,-75.46,-58.86,-24.79,11.39,38.24,57.02,72.79,81.92,79.49,73.19,71.37,74.06,79.75,88.97,99.18,103.51,100.2,89.69,70.1,43.34,11.01,-29.05,-70.01,-104.21,-136.28,-170.19,-198.76,-212.61,-213.38,-208.85,-203.03,-197.63,-192.67,-186.16,-175.39,-159.34,-137.75,-113.67,-93.7,-79.43,-70.01,-62.45,-51.92,-38.35,-25.68,-14.61,-2.1,12.06,24.61,32.8
LEFT,32.05,25.05,16.15,6.6,-1.2,-7.08,-8.04,-5.09,-4.6,-6.54,-8.36,-11.41,-17.23,-20.44,-17.79,-16.81,-20.52,-22.81,-22.45,-23.56,-24.35,-23.92,-36.52,-74.91,-126.76,-169.85,-199.17,-219.61,-226.67,-218.37,-202.22,-180.78,-152.31,-118.81,-83.45,-47.09,-12.07,14.7,34.46,56.31,79.93,96.86,107.88,119.09,131.09,140.27,141.62,136.77,133.6,132.73
LEFT,-34.85,-18.13,11.04,41.23,66.12,86.9,103.5,118.65,136.37,152.64,164.18,174.48,184.38,187.97,178.15,154.01,119.46,78.27,33.17,-10.61,-49.68,-86.49,-122.09,-151.7,-174.29,-191.85,-203.95,-208.47,-204.8,-195.89,-182.88,-168.45,-157.07,-147.89,-137.21,-125.32,-114.37,-101.09,-83.66,-66.34,-52.02,-40.12,-28.92,-19.17,-12.09,-5.8,0.84,8.81,16.42,19.77
LEFT,65.68,68.62,74.78,79.61,80.27,78.53,77.73,78.28,79.16,80.53,79.52,72.47,62.23,56.7,57.32,60.46,63.21,63.25,60.06,55.25,47.48,26.71,-12.81,-64.88,-122.3,-183.81,-243.21,-281.2,-285.26,-258.03,-212.73,-165.62,-117.25,-54.32,22.85,92.75,141.68,181.25,216.72,241.11,257.48,271.71,280.71,280.49,271.23,255.36,235.53,215.19,196.36,176.97
LEFT,-99.5,-105.16,-106.48,-106.08,-97.14,-66.89,-26.27,5.95,32.5,59.38,82.79,97.09,100.32,96.68,89.09,75.43,55.97,36.86,18.8,-3.35,-31.01,-64.04,-99.23,-130.3,-156.12,-181.97,-211.96,-240.23,-259.11,-271.34,-278.56,-276.48,-264.29,-247.71,-230.32,-212.19,-195.71,-180.21,-161.25,-138.62,-117.31,-99.89,-83.73,-67.28,-49.73,-32.21,-18.1,-8.42,-1.52,5.26
LEFT,17.58,17.75,15.38,10.78,6.48,4.05,5.26,6.54,3.93,0.52,-4.44,-5.18,-0.21,-2.92,-11.69,-17.55,-19.04,-17.11,-17.96,-22.35,-22.53,-17.67,-20.77,-45.83,-90.91,-145.34,-201.49,-252.23,-289.63,-303.21,-291.57,-265.5,-231.61,-188.95,-134.63,-71.14,-6.48,48.12,85.62,112.21,132.67,151.22,172.72,189.74,195.26,192.95,189.51,187.54,184.37,177.2
LEFT,-79.24,-76.61,-74.38,-75.24,-78.48,-81.92,-78.71,-58.28,-21.62,19.1,55.99,89.54,121.56,148.51,167.2,178.38,178.08,162.98,137.69,105.52,63.38,10.83,-44.73,-96.69,-143.77,-187.0,-225.75,-256.36,-273.5,-278.07,-277.04,-269.75,-253.78,-237.2,-226.64,-218.07,-203.37,-182.81,-160.57,-138.54,-118.6,-103.41,-93.44,-82.71,-69.35,-57.53,-47.16,-36.8,-25.05,-10.39
LEFT,105.91,105.45,105.14,102.18,98.18,94.98,91.59,87.02,81.16,77.61,78.01,79.25,78.54,75.18,70.02,62.98,56.71,53.21,53.05,53.48,41.99,7.47,-42.82,-92.92,-143.48,-194.53,-231.01,-247.85,-247.52,-228.33,-190.3,-135.85,-71.74,-4.72,54.56,97.41,131.64,162.21,185.77,203.41,215.73,223.13,225.76,221.14,209.12,193.11,176.67,162.63,151.68,138.14
