,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,LEFT,-76.29,-72.75,-69.58,-68.2,-68.44,-62.96,-42.24,-8.16,26.93,57.53,85.83,110.36,132.29,155.49,175.91,188.46,192.22,187.22,170.19,134.07,78.79,16.17,-41.94,-92.66,-137.67,-175.43,-203.22,-221.38,-231.96,-234.62,-231.3,-223.08,-211.38,-199.85,-188.89,-176.0,-159.76,-141.9,-124.58,-107.84,-91.29,-73.74,-57.07,-43.19,-31.94,-22.04,-11.31,-0.77,6.61,11.21
11,LEFT,66.49,63.27,60.03,54.66,48.8,44.76,42.2,39.3,35.91,32.32,29.66,28.53,28.42,28.04,24.12,15.4,4.43,-4.59,-9.61,-5.51,5.02,6.1,-15.27,-59.27,-109.78,-158.24,-206.98,-242.32,-252.91,-244.17,-222.98,-192.03,-149.51,-93.8,-29.46,28.75,69.24,96.65,117.81,135.42,147.39,150.79,152.17,153.95,150.44,142.84,136.1,127.96,115.13,101.8
12,LEFT,-20.23,-27.69,-28.09,-24.87,-20.89,-12.9,-5.33,-4.06,-4.43,-0.08,3.84,4.86,5.97,6.09,10.82,19.24,20.39,17.85,18.73,20.55,13.87,-7.94,-43.57,-90.15,-143.21,-193.24,-230.46,-248.76,-244.88,-217.69,-169.13,-108.18,-43.1,21.06,78.12,126.34,167.63,206.02,241.5,267.09,280.53,287.12,288.43,282.61,271.52,257.31,238.74,217.77,201.12,188.98
13,LEFT,102.23,99.59,95.01,92.88,91.93,89.2,83.79,77.47,74.86,76.93,80.1,82.51,83.64,82.49,77.55,73.03,72.29,72.91,73.83,74.91,64.64,28.52,-27.9,-87.85,-140.62,-183.64,-214.88,-223.19,-203.66,-162.88,-107.66,-46.13,17.84,78.42,127.28,167.82,200.96,221.48,232.79,239.57,241.39,237.68,230.34,221.94,212.85,201.42,188.46,176.17,161.91,143.11
14,LEFT,55.9,52.49,42.16,20.89,-2.2,-13.36,-10.75,-3.23,1.25,6.24,15.98,23.58,27.65,33.62,38.78,40.71,41.52,43.66,46.95,49.23,48.05,34.38,-2.67,-58.55,-114.06,-162.1,-204.89,-231.91,-238.01,-227.95,-202.29,-162.07,-111.21,-53.77,6.43,56.06,85.57,110.57,139.65,162.59,175.83,180.07,176.61,169.98,161.46,151.37,141.67,131.41,118.97,106.56
15,LEFT,-35.89,-39.05,-42.99,-41.38,-22.39,14.17,53.89,85.88,108.6,122.83,133.71,145.13,151.07,149.48,144.85,137.35,123.33,99.96,64.26,18.73,-25.19,-63.24,-100.62,-137.98,-169.15,-188.19,-196.6,-197.03,-191.48,-183.98,-179.84,-181.97,-183.84,-176.56,-158.5,-136.91,-117.74,-101.67,-89.6,-80.59,-71.34,-58.85,-43.26,-27.94,-14.77,-3.97,3.68,10.82,22.47,34.31
16,LEFT,-76.69,-74.93,-77.78,-84.78,-84.35,-63.16,-24.96,15.66,52.01,80.92,98.91,112.63,127.95,140.85,148.66,149.86,142.2,124.04,95.77,61.28,25.35,-9.75,-48.03,-92.92,-138.32,-178.01,-211.16,-233.37,-245.27,-255.28,-265.0,-266.94,-256.23,-239.55,-224.54,-209.74,-193.03,-176.43,-161.1,-144.74,-127.62,-109.56,-90.83,-76.14,-63.55,-46.36,-26.3,-9.1,5.19,18.69
17,LEFT,101.62,99.64,94.82,93.49,97.37,98.04,91.61,85.21,81.2,76.27,71.23,67.54,63.43,57.06,50.0,44.0,39.75,36.26,34.05,34.96,30.29,4.34,-41.93,-90.36,-138.27,-191.28,-237.37,-263.71,-262.27,-235.06,-196.21,-154.84,-110.78,-62.53,-12.06,39.42,88.56,128.93,162.99,190.96,205.82,210.7,213.91,214.65,208.58,198.18,188.61,178.57,164.44,148.32
18,LEFT,-119.37,-119.82,-118.91,-116.24,-114.94,-107.04,-80.01,-42.45,-7.26,26.34,59.27,88.04,109.26,122.04,131.78,139.33,135.88,116.25,84.1,42.94,-5.1,-54.83,-95.46,-126.79,-156.13,-181.57,-199.14,-205.64,-203.89,-202.77,-204.24,-204.65,-199.13,-185.27,-165.96,-148.32,-136.3,-127.14,-117.38,-104.68,-87.69,-65.38,-44.01,-32.41,-25.33,-11.2,10.61,31.04,41.89,44.73
19,LEFT,110.11,115.23,114.84,110.5,104.52,97.67,92.4,90.78,92.26,92.12,88.64,83.71,77.69,71.56,67.37,65.07,64.59,64.43,62.5,57.61,44.93,14.56,-33.99,-91.06,-146.04,-188.32,-216.07,-231.79,-232.7,-212.5,-172.38,-119.64,-61.24,-5.4,45.07,91.03,127.42,155.85,183.47,209.03,227.94,240.02,245.81,243.71,235.25,225.37,214.41,199.44,180.89,161.05
