,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
13,RIGHT,98.24,93.3,85.01,73.1,63.75,60.91,60.77,57.97,55.47,59.75,63.9,53.34,34.01,29.99,44.14,53.78,45.43,27.42,15.47,15.58,15.88,5.46,-4.06,14.28,75.6,159.18,219.77,227.52,187.33,117.94,37.73,-33.09,-80.24,-105.99,-119.58,-125.36,-124.36,-120.4,-115.85,-109.86,-103.15,-99.89,-97.88,-79.51,-39.65,-9.86,-11.24,-24.24,-31.22,-40.3
14,RIGHT,95.16,91.98,80.5,65.44,55.81,50.81,44.67,39.92,41.35,46.77,50.54,49.73,45.31,39.83,37.93,42.07,44.96,39.08,31.29,29.54,28.1,21.82,22.01,51.71,118.69,191.19,219.2,181.34,105.77,38.57,-7.19,-44.7,-76.32,-95.53,-103.48,-107.47,-112.66,-118.11,-118.38,-111.28,-102.2,-96.72,-96.61,-97.72,-91.52,-77.01,-62.75,-55.38,-55.92,-58.88
15,RIGHT,91.27,85.21,82.14,76.18,65.71,56.65,50.54,45.57,44.39,46.85,46.38,40.37,32.39,25.76,22.75,23.68,25.28,25.2,24.24,21.36,13.95,5.96,10.33,42.87,106.09,171.06,196.98,172.06,113.02,43.32,-15.9,-57.08,-87.01,-109.25,-118.78,-115.36,-108.29,-105.4,-105.04,-102.45,-97.82,-93.19,-87.86,-81.85,-76.09,-66.94,-55.84,-51.53,-53.68,-51.98
16,RIGHT,86.88,85.68,76.44,64.53,60.42,65.58,68.52,58.65,42.89,35.58,34.6,30.47,27.92,32.87,35.72,29.55,23.25,22.53,21.01,17.33,17.22,16.68,9.32,9.74,47.46,127.51,206.54,232.54,199.96,137.91,66.31,-4.58,-60.0,-91.91,-108.33,-120.81,-132.04,-138.38,-136.85,-127.44,-115.78,-110.81,-113.55,-114.19,-104.27,-86.56,-72.69,-69.05,-67.06,-57.2
17,RIGHT,61.85,60.1,59.68,62.91,65.53,65.2,50.27,6.14,-55.58,-100.18,-101.24,-60.03,-4.2,40.18,70.6,90.02,95.53,92.21,91.23,92.6,88.1,77.73,70.23,71.16,87.9,135.59,211.57,280.74,311.2,301.69,261.35,191.19,96.63,-0.43,-73.67,-117.44,-146.66,-165.61,-164.78,-148.44,-130.27,-116.13,-107.81,-103.68,-96.93,-87.51,-81.71,-79.77,-74.62,-60.91
18,RIGHT,96.71,101.63,105.04,102.72,98.32,100.36,106.28,104.12,91.51,80.3,79.8,84.25,82.21,70.88,58.66,55.49,58.25,56.31,46.85,34.51,25.13,20.03,18.16,31.67,77.67,144.79,196.66,206.19,166.78,95.72,28.37,-17.31,-51.44,-79.72,-95.73,-101.77,-107.29,-111.71,-110.36,-107.32,-105.25,-99.75,-92.84,-89.85,-86.27,-77.27,-68.41,-66.05,-67.58,-65.45
19,RIGHT,103.54,95.43,93.93,91.69,84.86,78.77,77.14,76.93,73.64,66.42,57.88,54.01,58.46,63.49,58.58,47.81,43.46,46.76,47.04,38.1,27.07,20.86,19.87,39.39,96.38,167.68,211.68,214.34,180.05,114.88,37.57,-25.83,-64.44,-85.75,-99.07,-107.56,-112.97,-117.4,-119.61,-116.98,-103.67,-74.49,-40.57,-20.62,-14.91,-18.72,-37.94,-68.5,-90.42,-92.57
20,RIGHT,102.4,103.82,101.77,102.69,106.5,110.26,112.9,110.26,99.66,88.47,84.1,85.99,88.91,86.47,76.56,63.98,54.44,47.59,40.16,34.01,33.78,38.64,45.88,66.83,117.31,182.72,223.21,212.82,154.66,73.31,0.12,-49.15,-79.77,-98.02,-105.17,-105.76,-102.33,-91.83,-75.33,-59.34,-43.17,-26.86,-23.31,-37.83,-58.9,-84.44,-116.08,-140.87,-153.39,-159.73
21,RIGHT,98.58,107.03,109.45,104.97,98.48,92.33,86.59,83.24,81.87,78.3,71.86,66.52,61.42,50.28,34.47,24.78,27.47,34.48,32.46,21.78,14.95,13.64,16.18,40.54,99.73,169.01,209.77,203.6,153.28,77.21,3.55,-46.14,-70.27,-84.38,-101.18,-115.29,-118.2,-113.87,-107.67,-100.06,-91.2,-79.55,-64.58,-54.8,-58.76,-68.43,-69.09,-60.96,-54.12,-53.59
22,RIGHT,74.92,70.54,75.3,78.48,75.66,70.54,61.59,49.38,41.37,38.49,36.42,38.04,45.26,49.06,41.8,31.93,32.74,41.68,42.59,30.97,18.81,11.15,8.41,30.23,92.15,164.88,199.94,181.56,124.45,49.46,-18.99,-62.75,-83.56,-91.76,-94.37,-96.15,-98.75,-100.55,-100.87,-101.81,-104.36,-103.15,-92.1,-77.67,-71.87,-73.42,-71.43,-63.06,-54.4,-50.03
23,RIGHT,98.66,85.09,80.33,91.21,97.08,83.87,66.68,58.86,54.17,48.26,45.21,43.33,38.7,34.63,34.46,33.59,25.53,12.13,2.79,1.62,1.8,-2.58,-1.76,30.86,104.6,180.63,206.86,170.68,98.93,26.69,-29.68,-71.59,-99.39,-111.84,-116.09,-119.75,-121.46,-118.6,-113.81,-108.31,-100.75,-94.19,-92.86,-91.99,-85.09,-77.81,-77.71,-77.98,-70.71,-62.46
24,RIGHT,88.3,101.59,105.68,112.89,122.16,121.98,110.36,98.14,94.06,93.39,87.35,79.41,79.17,83.32,81.43,72.38,63.55,60.88,60.94,53.51,41.78,38.55,44.79,61.55,103.27,168.64,225.51,238.9,198.25,124.12,52.24,3.09,-26.99,-48.51,-67.34,-83.86,-94.41,-98.82,-100.6,-101.0,-97.99,-90.34,-81.61,-75.85,-72.92,-71.63,-70.05,-65.51,-57.5,-47.32
25,RIGHT,75.87,77.86,77.62,71.69,65.25,64.28,66.12,62.24,49.97,37.02,31.73,30.19,26.5,25.07,28.67,32.91,37.25,40.31,37.04,29.93,23.99,18.41,17.97,43.87,112.18,194.9,238.38,220.12,156.33,75.78,4.2,-49.17,-89.31,-116.38,-126.1,-120.68,-108.84,-102.11,-104.9,-108.62,-104.94,-99.59,-98.74,-95.99,-86.22,-74.94,-69.44,-69.92,-68.7,-62.06
26,RIGHT,60.46,57.33,54.37,49.92,43.17,40.15,42.58,43.24,37.69,30.64,30.67,37.69,38.0,25.36,15.28,20.01,27.48,23.44,15.69,16.41,18.88,11.61,1.58,14.29,67.94,145.27,201.96,206.28,159.85,88.93,24.29,-20.03,-50.43,-76.39,-98.33,-112.89,-120.27,-120.9,-116.09,-109.37,-103.36,-99.98,-97.62,-91.03,-80.58,-71.57,-65.79,-60.83,-55.98,-51.09
27,RIGHT,53.42,50.51,52.5,53.13,46.71,35.8,26.06,22.61,24.95,22.87,11.24,0.12,-2.46,1.81,5.98,1.9,-6.72,-8.54,-5.39,-2.8,4.31,11.55,9.1,21.72,83.99,171.82,226.2,220.21,160.14,71.7,-6.33,-57.86,-94.95,-122.46,-135.84,-140.93,-143.76,-138.8,-127.55,-121.39,-118.43,-109.79,-96.98,-86.7,-79.33,-69.99,-61.44,-61.92,-64.75,-54.31
28,RIGHT,48.19,70.98,83.3,92.68,103.02,113.36,119.32,119.07,114.71,108.04,102.85,105.7,109.16,97.32,74.64,60.68,59.36,59.75,59.69,63.12,62.81,50.45,35.56,39.78,77.77,141.56,203.42,232.36,209.72,143.72,65.51,4.13,-35.84,-66.31,-90.51,-101.62,-101.02,-100.77,-107.66,-114.27,-111.86,-104.42,-98.22,-91.75,-83.88,-77.23,-70.43,-61.32,-52.31,-47.92
29,RIGHT,-158.23,-214.64,-223.3,-185.55,-115.94,-40.74,16.67,55.23,83.63,100.35,106.08,108.7,110.86,112.72,112.49,105.2,96.04,90.87,81.57,67.1,59.72,59.05,54.96,54.8,84.48,153.02,226.79,262.89,252.83,208.96,140.93,65.63,4.42,-39.18,-72.43,-94.16,-102.81,-106.95,-112.78,-116.39,-112.28,-102.0,-95.61,-98.25,-100.7,-93.93,-80.55,-68.13,-64.22,-65.53
30,RIGHT,1.05,27.93,56.68,81.71,93.07,96.99,103.65,114.08,121.15,116.04,103.88,98.25,95.98,87.35,82.46,88.55,87.61,71.51,58.75,57.87,58.79,62.24,75.35,93.68,123.9,180.03,237.0,250.09,209.96,140.12,72.87,30.8,5.4,-24.72,-57.32,-79.29,-88.94,-86.83,-75.63,-66.18,-64.31,-66.38,-69.4,-72.89,-73.39,-68.13,-62.79,-59.31,-53.93,-50.21
31,RIGHT,-95.11,-153.85,-167.28,-128.37,-73.25,-29.76,8.65,47.36,72.77,80.08,78.91,76.45,78.52,87.39,94.78,93.33,85.43,74.49,62.3,55.8,56.67,53.74,44.39,48.19,86.75,152.92,210.33,230.6,204.02,134.17,54.38,3.42,-19.32,-32.79,-44.3,-59.63,-78.45,-85.27,-71.68,-53.69,-49.28,-53.98,-56.38,-58.55,-61.99,-59.61,-52.06,-49.36,-53.75,-57.91
